ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006412	translation	43	0.618481478858034	4.30444287520816	5.62325845561162e-10	1.13027494957794e-07	4.35062627881531e-08	54	tags=93%, list=51%, signal=77%	Lars2/Rxra/Eef2/Rpl38/Rpl21/Rpl9/Rpl14/Igf1/Rpl37/Eef1b2/Rps17/Rps27a/Rpl31/Rpl5/Rps3/Rps29/Rpl28/Rpl17/Rpl36/Rpl27a/Rpl37a/Rplp1/Rps14/Rpl13/Rpsa/Rps11/Rps23/Rpl35/Rpl41/Rplp2/Eef1a1/Rpl18a/Rps28/Rpl32/Rps18/Rps9/Rps19/Rps16/Rpl10/Fau
GO:0043043	peptide biosynthetic process	43	0.618481478858034	4.30444287520816	5.62325845561162e-10	1.13027494957794e-07	4.35062627881531e-08	54	tags=93%, list=51%, signal=77%	Lars2/Rxra/Eef2/Rpl38/Rpl21/Rpl9/Rpl14/Igf1/Rpl37/Eef1b2/Rps17/Rps27a/Rpl31/Rpl5/Rps3/Rps29/Rpl28/Rpl17/Rpl36/Rpl27a/Rpl37a/Rplp1/Rps14/Rpl13/Rpsa/Rps11/Rps23/Rpl35/Rpl41/Rplp2/Eef1a1/Rpl18a/Rps28/Rpl32/Rps18/Rps9/Rps19/Rps16/Rpl10/Fau
GO:0006950	response to stress	44	-0.738132621234169	-2.35047564153075	8.00745430062338e-09	1.07299887628353e-06	4.1301606392689e-07	44	tags=77%, list=42%, signal=77%	Axl/Mertk/Lgals1/Apoe/Ifitm3/Csf1r/Vim/Spp1/Tspo/Crip1/Tlr4/Ccl2/Nos2/C1qb/C1qc/Fn1/Trem2/B2m/Capg/Fcgr2b/Ctss/Itgax/H2-K1/Lgals3/Ccl6/Cst7/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Lyz2
GO:0050896	response to stimulus	63	-0.741642583475741	-2.37350863999814	1.25392047268286e-08	1.26019007504628e-06	4.85069235485214e-07	49	tags=68%, list=47%, signal=91%	Ctsl/Anxa2/Rplp0/Cx3cr1/Axl/Mertk/Lgals1/Apoe/Ifitm3/Csf1r/Vim/Spp1/Tspo/Crip1/Tlr4/Ccl2/Nos2/C1qb/C1qc/Cd33/Fn1/Trem2/B2m/Capg/H2-D1/Fcgr2b/Ctss/Itgax/H2-K1/Cd52/Lgals3/Ccl6/Cst7/Csf2/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Gpnmb/Lyz2
GO:0065007	biological regulation	75	-0.778750789159655	-2.42770822144649	1.66508995612325e-08	1.33873232472309e-06	5.15301523263405e-07	52	tags=65%, list=50%, signal=115%	Tmem119/Cd63/Tmsb4x/Ctsl/Anxa2/Cx3cr1/Ctsb/Axl/Mertk/Lgals1/Apoe/Ifitm3/Csf1r/Vim/Spp1/Tspo/Crip1/Apoc1/Tlr4/Ccl2/Nos2/C1qb/C1qc/Ctsz/Ctsd/Ftl1/Cd33/Fn1/Trem2/B2m/Capg/H2-D1/Fcgr2b/Ctss/Itgax/H2-K1/Cd52/Lgals3/Ccl6/Cst7/Csf2/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Gpnmb
GO:0002376	immune system process	47	-0.713990225033336	-2.28036778439444	2.15027790138771e-08	1.44068619392977e-06	5.54545353515778e-07	44	tags=72%, list=42%, signal=76%	Axl/Mertk/Lgals1/Apoe/Ifitm3/Csf1r/Vim/Spp1/Tlr4/Ccl2/Nos2/C1qb/C1qc/Cd33/Fn1/Trem2/B2m/Capg/H2-D1/Fcgr2b/Ctss/H2-K1/Lgals3/Ccl6/Cst7/Csf2/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Gpnmb
GO:0006952	defense response	36	-0.732936792240846	-2.28999097501906	4.33920158922388e-08	2.49194148409714e-06	9.5919193024949e-07	46	tags=86%, list=44%, signal=74%	Cx3cr1/Axl/Lgals1/Apoe/Ifitm3/Csf1r/Vim/Tlr4/Ccl2/Nos2/C1qb/C1qc/Fn1/Trem2/B2m/Capg/Fcgr2b/Ctss/Itgax/H2-K1/Lgals3/Ccl6/Cst7/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Lyz2
GO:0044419	interspecies interaction between organisms	36	-0.723692284345141	-2.26110739341453	8.82696929722413e-08	3.94271295276011e-06	1.51761928268064e-06	46	tags=86%, list=44%, signal=74%	Cx3cr1/Ctsb/Axl/Lgals1/Apoe/Ifitm3/Csf1r/Vim/Tlr4/Ccl2/Nos2/C1qb/C1qc/Fn1/Trem2/B2m/Capg/Fcgr2b/Itgax/H2-K1/Cd52/Lgals3/Ccl6/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Lyz2
GO:0009607	response to biotic stimulus	33	-0.720396860097753	-2.23748232117176	8.23416498053519e-08	3.94271295276011e-06	1.51761928268064e-06	41	tags=88%, list=39%, signal=78%	Cx3cr1/Axl/Apoe/Ifitm3/Csf1r/Vim/Tspo/Tlr4/Ccl2/Nos2/C1qb/C1qc/Trem2/B2m/Capg/Fcgr2b/Itgax/H2-K1/Cd52/Lgals3/Ccl6/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Lyz2
GO:0051179	localization	46	-0.700525912558143	-2.23754361447278	1.96138064784949e-07	7.12514459209035e-06	2.74259296946133e-06	51	tags=80%, list=49%, signal=74%	Cd63/Tmsb4x/Ctsl/Anxa2/Cx3cr1/Axl/Mertk/Apoe/Ifitm3/Csf1r/Vim/Spp1/Tspo/Apoc1/Tlr4/Ccl2/Nos2/Ctsd/Ftl1/Cd33/Fn1/Trem2/B2m/Fcgr2b/Ctss/Itgax/Lgals3/Ccl6/Csf2/Cd74/Arg1/Clec7a/Cd68/Tnf/Cybb/Il1b/Gpnmb
